,funding_total_usd,milestones,web,biotech,active_days,isClosed,funding_per_active_day,PC1,PC2,PC3,PC4,PC5,PC6,PC7,status
35,150000.0,1.0,1,0,5113,1,29.34,1.1337941905697106,0.14347756019834398,-1.1695447146152733,1.1046893341430917,2.4309475019038693,-0.8282809308252943,-0.12588977766838627,1
36,75000.0,1.59,1,0,3652,1,20.54,1.4350843997141185,0.7674360610122691,-1.2882296805877722,0.7148633212567643,2.206061012700373,-0.15898495551410044,-0.40739908634692873,1
37,3000000.0,1.59,0,0,1095,0,2739.73,2.84035074470532,0.5743922521247177,1.4103958454476164,-1.6634991930399896,-1.0738603477636919,-1.099570179517554,1.0808286321005778,3
38,8829914.0,1.59,0,0,5113,1,1726.95,-0.5614855106395038,0.2585735738902093,-0.006126847366514256,0.14799501330421072,-0.4892570787339619,-0.2919813284896672,-0.3026130333613776,1
39,27200000.0,1.59,0,0,3652,1,7447.97,-1.4941024050316551,1.6498696246086233,0.7298922375250839,-0.28716689102494447,-1.044357094900443,-1.7619490638044837,-2.0757141509490205,1
40,16000000.0,1.0,0,0,7670,1,2086.05,-1.63565490947406,0.2049471319432925,0.3158770714086872,0.5128047451886825,-0.36898997464456973,-1.6578382668792966,-0.23779272358594608,1
41,12322500.0,3.0,0,0,7670,1,1606.58,-1.6020750138390465,2.1586052976218575,-0.43803284179255303,-0.3116596778019747,-0.717029657925063,0.5269226941948031,0.45859101398627333,1
42,26752221.0,1.0,0,0,3652,1,7325.36,-1.3958782800294753,0.9551058509267332,0.8970124890055254,-0.017981238078808824,-0.9034139929800248,-2.2742873356331983,-2.1675768443062515,1
43,50000.0,1.0,0,0,4748,1,10.53,0.2151343005576821,-1.0877741869767528,-0.12308745776393178,0.5256869806439683,-0.1645211243364392,-0.057984428638429925,0.11997353504629761,1
44,138000.0,2.0,0,0,730,0,189.04,3.085929354643455,0.8026639940598381,1.1917262835633469,-1.8336245867871752,-1.1172918565853411,-0.4437830386856183,1.2766404308717554,3
45,1300000.0,1.0,0,0,4748,1,273.8,0.12695945236133818,-0.9911408343319622,-0.0778866368344748,0.50461051380796,-0.1957233764023461,-0.165735075646752,0.02735177427207448,1
46,3000000.0,3.0,0,0,4748,1,631.84,-0.2188785042987931,1.3779888190870793,-0.6380365485166237,-0.41116035033036424,-0.6780649790740736,1.555222806523513,0.3252478361185779,1
47,21189.0,1.0,0,0,730,0,29.03,3.20708812703561,-0.3253329440450294,1.49799539003875,-1.3883932043215856,-0.8944548191485115,-1.3675824714385598,1.073351750740148,3
48,1835000.0,1.59,0,0,3652,1,502.46,0.2946544930595043,-0.3123465790774414,-0.19109312862761377,0.1370640368332306,-0.4115804064905934,0.4231155270249933,-0.19639019016798998,1
49,1000000.0,1.0,0,0,8400,1,119.05,-0.7583923968313326,-0.9384861700103161,-0.2574006505997343,0.832950247860341,0.05417993073266527,-0.41969883753011245,1.0796972240182572,1
50,895000.0,1.0,0,0,3652,1,245.07,0.42759037515248854,-1.0451881763779942,-0.0418450736617715,0.4144821139341382,-0.2583579439660323,-0.04682043037783868,-0.25178362579413327,1
51,3242399.0,1.0,0,1,5113,1,634.15,-1.120884753527601,-1.5366822619968343,1.6219666878120034,-1.446553336272919,1.8112071434276413,0.5049904232050251,-0.22058443106448183,1
52,1616176.0,1.0,0,0,6209,1,260.3,-0.2580119391020812,-0.936391609225853,-0.13403127443978186,0.6285160754953756,-0.10664680171066958,-0.30497276588286865,0.41602260589455664,1
53,50000.0,1.59,0,0,1826,0,27.38,2.8663619259957116,0.359797016202992,1.2650866805305605,-1.5535131315875128,-0.9521907643008,-0.903114283182842,1.505405747781049,3
54,2475000.0,1.0,0,0,4017,1,616.13,0.225550044012262,-0.9154236865463476,-0.0014570209049357007,0.4202540569637087,-0.2735581632385918,-0.21094254939845056,-0.265897682682951,1
55,952578.0,1.59,0,0,4748,1,200.63,0.08482011137606102,-0.35787492581651287,-0.27382842664025775,0.24877194023308827,-0.31682352548236,0.41512501958844367,0.17813403330194197,1
56,7385500.0,1.59,0,0,5478,1,1348.21,-0.5502183213258602,0.1544369122996321,-0.07536888501390943,0.2045191770688504,-0.428989172459811,-0.19549671671613134,-0.09263688395416991,1
57,12100000.0,1.0,1,0,2191,0,5522.59,3.009615930910031,1.8571989015606363,0.8410879700442647,-0.9079315980845366,1.475457144868581,-3.251813437148121,0.24932867906837342,3
58,109018.0,1.59,0,0,4748,1,22.96,0.1443247304909393,-0.4230877528814225,-0.3043321167500729,0.26299534576532035,-0.29576674873501524,0.4878403257845275,0.24063964304626695,1
59,1700000.0,2.0,0,0,3287,1,517.19,0.34847581414908624,0.12839496916704743,-0.3064702050360535,-0.07475379590809116,-0.5226115555650579,0.8455868566502998,-0.20244728257661276,1
60,900000.0,1.0,0,0,3652,1,246.44,0.42723777205159624,-1.044801379622037,-0.04166352508129731,0.4143984905876706,-0.25848267797420715,-0.0472511539396145,-0.252154081839993,1
61,50000.0,2.0,0,0,4748,1,10.53,0.1021742200949421,0.031079962925738266,-0.43389896337096245,0.08213355377627415,-0.384474393415535,0.8757649555819137,0.3319043636481288,1
62,8700000.0,2.0,0,0,4383,1,1984.94,-0.41735041362361897,0.6923214335935977,-0.10391463502659258,-0.09571713864215368,-0.6245882354777754,0.15822382591134124,-0.4119794012352998,1
